States_Union Territories,2001 - LIT,2011- LIT
Andaman and Nicobar Islands,81.3,86.63
Andhra Pradesh,60.47,67.02
Arunachal Pradesh,54.34,65.39
Assam,63.25,72.19
Bihar,47,61.8
Chandigarh,81.94,86.05
Chhattisgarh,64.66,70.28
Delhi,57.63,76.24
Goa,78.18,87.1
Gujarat,81.67,86.21
Haryana,82.01,88.7
Himachal Pradesh,69.14,78.03
Jammu and Kashmir,67.91,75.55
Jharkhand,76.48,82.8
Karnataka,55.52,67.16
Kerala,53.56,66.41
Madhya Pradesh,66.6,75.37
Maharashtra,90.86,94
Manipur,86.66,91.85
Meghalaya,63.74,69.32
Mizoram,76.88,82.34
Nagaland,70.5,76.9
Odisha,62.56,74.43
Puducherry,88.8,91.33
Punjab,66.59,79.6
Rajasthan,63.08,72.89
Sikkim,81.24,85.85
Tamil Nadu,69.65,75.84
Tripura,68.81,81.42
Uttar Pradesh,73.45,80.09
Uttarakhand,73.19,87.22
West Bengal,56.27,67.68
